PHI,18.22
BUF,17.57
MIN,17.22
NE,16.95
ARI,14.39
DAL,14.34
PIT,13.40
ATL,13.15
DEN,11.55
SEA,10.22
WAS,9.44
KC,8.86
SD,8.85
GB,8.80
NYG,7.91
BAL,7.41
DET,6.44
OAK,6.39
MIA,6.18
TEN,5.84
CAR,5.77
CIN,5.55
NO,5.24
LA,4.98
HOU,4.65
IND,3.05
SF,1.54
CLE,1.13
NYJ,1.13
TB,0.95
CHI,0.78
JAC,0.00
