2016-05-13
Zack,11763,Austin,11719,Chris,10249,Matt,9892,Patrick,9368,Max,8424
SF,2918,ARI,3450,SEA,2398,BOS,2910,PIT,2232,CHW,2469
STL,2789,COL,2672,TEX,2212,WAS,2274,LAD,2204,KC,1740
PHI,2304,TOR,2017,CHC,2209,NYY,1661,MIA,1888,MIL,1547
CIN,1910,NYM,1910,BAL,1886,HOU,1534,CLE,1622,DET,1475
SD,1842,OAK,1670,TB,1544,LAA,1513,MIN,1422,ATL,1193
